Temporada,Rank,Equip,Nacionalitat,Jugador,Gols,PJ,Gpp,Asist,App,Pen,Pen %,FD,FD %,Az,Azpp,Rj,Rjpp
20/21,1,REU,ES,"RODRIGUEZ DALMAU, ALEX",37,23,1.61,5,0.22,7/11,63.64,0/2,0.00,5,0.22,,
20/21,2,LIC,ES,"ADROHER MAS, JORDI",33,23,1.43,5,0.22,3/5,60.00,17/41,41.46,3,0.13,,
20/21,3,BAR,PT,"RODRIGUES BRAZÃO, JOÃO MIGUEL ",33,24,1.38,6,0.25,5/8,62.50,1/4,25.00,,,,
20/21,4,BAR,ES,"ALVAREZ VERA, PABLO  FEDERICO",31,23,1.35,14,0.61,1/1,100.00,1/9,11.11,3,0.13,,
20/21,5,BAR,PT,"NUNES PEREIRA, HELDER",30,25,1.20,17,0.68,5/8,62.50,2/4,50.00,2,0.08,,
20/21,6,CAL,ES,"MITJANS COLS, ELOI",29,25,1.16,2,0.08,6/11,54.55,5/15,33.33,,,,
20/21,7,NOI,ES,"COSTA FERRE, XAVIER",29,22,1.32,1,0.05,10/17,58.82,,,6,0.27,,
20/21,8,GIR,ES,"GELMÀ PAZ, DAVID",27,24,1.13,4,0.17,6/13,46.15,0/5,0.00,6,0.25,,
20/21,9,LLO,ES,"GONZALEZ ROVIROSA, MARC",27,23,1.17,3,0.13,,,11/21,52.38,4,0.17,,
20/21,10,REU,ES,"MARIN MARTIN, RAUL",26,19,1.37,5,0.26,4/8,50.00,6/16,37.50,7,0.37,,
20/21,11,REU,ES,"JULIÀ SOLER, MARC",24,24,1.00,4,0.17,,,8/23,34.78,2,0.08,,
20/21,12,VOL,ES,"TEIXIDO ABAT, GERARD",24,24,1.00,11,0.46,2/6,33.33,9/21,42.86,5,0.21,,
20/21,13,TAR,ES,"RODRIGUEZ DALMAU, DANIEL",21,24,0.88,4,0.17,2/4,50.00,13/24,54.17,2,0.08,,
20/21,14,BAR,ES,"BARGALLÓ  POCH , PAU",21,23,0.91,21,0.91,0/1,0.00,7/16,43.75,4,0.17,,
20/21,15,PAL,ES,"CANET VILA, SERGI",20,23,0.87,1,0.04,1/3,33.33,,,3,0.13,,
20/21,16,VOL,ES,"CANAL TRUY, ARNAU",20,25,0.80,4,0.16,4/6,66.67,0/1,0.00,3,0.12,,
20/21,17,LLE,ES,"VIVES CLOS, ORIOL",19,24,0.79,2,0.08,4/6,66.67,1/6,16.67,2,0.08,,
20/21,18,CAD,ES,"ROSA CAPELLA, FERRAN ",18,19,0.95,4,0.21,0/1,0.00,7/17,41.18,4,0.21,,
20/21,19,LLO,DE,"THIEL, MAX",17,23,0.74,3,0.13,2/6,33.33,0/6,0.00,3,0.13,,
20/21,20,PAL,ES,"FIGA RENJIFO, MARC",17,21,0.81,1,0.05,5/11,45.45,1/4,25.00,,,,
20/21,21,LLE,ES,"TOMÀS TOHÀ, ANDREU",17,24,0.71,2,0.08,5/11,45.45,4/10,40.00,3,0.13,,
20/21,22,TAR,ES,"CRESPO OLIVA, VICTOR",17,23,0.74,,,4/6,66.67,1/10,10.00,5,0.22,,
20/21,23,CAD,ES,"MIRAS VALERO, SERGIO",16,23,0.70,2,0.09,6/12,50.00,0/1,0.00,3,0.13,,
20/21,24,CAD,ES,"GIMENEZ ADMIRABLE, ALVARO BORJA",16,22,0.73,6,0.27,,,0/3,0.00,5,0.23,,
20/21,25,NOI,ES,"MANRUBIA PERO, POL",16,23,0.70,10,0.43,,,7/17,41.18,2,0.09,,
20/21,26,CAD,ES,"RODRÍGUEZ MARIMÓN, CRISTIAN",15,23,0.65,2,0.09,0/1,0.00,2/5,40.00,4,0.17,,
20/21,27,LLE,ES,"SELVA CRISTIA, JOSEP MARIA",15,23,0.65,4,0.17,1/2,50.00,4/13,30.77,4,0.17,,
20/21,28,LIC,ES,"TORRES PASTORIZA, DAVID",14,21,0.67,3,0.14,1/6,16.67,0/2,0.00,2,0.10,,
20/21,29,GIR,ES,"PUJOL QUINTANA, GERARD",14,20,0.70,,,,,3/14,21.43,4,0.20,,
20/21,30,VEN,ES,"ESCALA LOPEZ, JOAN SALVADOR",14,21,0.67,3,0.14,5/7,71.43,1/3,33.33,4,0.19,,
20/21,31,LIC,AR,"PLATERO FIGUEROA, FRANCO EMANUEL",14,23,0.61,6,0.26,0/2,0.00,1/1,100.00,1,0.04,,
20/21,32,BAR,ES,"PASCUAL, MATÍAS JOSÉ",14,23,0.61,6,0.26,,,,,3,0.13,,
20/21,33,IGU,ES,"YESTE BIOSCA , BERNAT",13,21,0.62,,,,,1/3,33.33,,,,
20/21,34,VOL,ES,"VARGAS NAVAS, ERIC",13,24,0.54,6,0.25,,,0/2,0.00,3,0.13,,
20/21,35,LLO,ES,"FARRE CASTELLS, ADRIA",12,23,0.52,4,0.17,,,0/1,0.00,4,0.17,,
20/21,36,LIC,FR,"DI BENEDETTO, ROBERTO",12,20,0.60,8,0.40,,,,,3,0.15,,
20/21,37,NOI,ES,"PUJADAS COLOMER, ROC",12,23,0.52,2,0.09,,,6/19,31.58,3,0.13,,
20/21,38,CAL,ES,"TORNÉ PIÑOL, SERGI",12,24,0.50,7,0.29,,,0/5,0.00,5,0.21,,
20/21,39,IGU,ES,"BARS CATALÀ, ROGER",12,21,0.57,,,5/8,62.50,1/7,14.29,1,0.05,,
20/21,40,CAD,ES,"RICART BENAVENT, LLUIS",11,23,0.48,6,0.26,0/1,0.00,,,1,0.04,,
20/21,41,REU,ES,"DEL RIO LAGE, PABLO",11,19,0.58,,,,,4/13,30.77,4,0.21,,
20/21,42,LIC,ES,"GRAU TALLADA, MARC",11,23,0.48,6,0.26,,,,,1,0.04,,
20/21,43,LLE,FR,"DI BENEDETTO, BRUNO",11,23,0.48,1,0.04,,,0/2,0.00,4,0.17,,
20/21,44,REU,ES,"SALVAT CARBÓ, JOAN",11,21,0.52,,,,,,,2,0.10,,
20/21,45,VOL,ES,"PALAZON MANCHA, MARC",11,24,0.46,,,0/1,0.00,,,4,0.17,,
20/21,46,CAD,ES,"ROVIRA GAYARRE, XAVIER",11,22,0.50,7,0.32,,,3/15,20.00,1,0.05,,
20/21,47,VEN,ES,"FERRER SANTACANA, LLUIS",11,22,0.50,1,0.05,1/3,33.33,1/7,14.29,,,,
20/21,48,LIC,ES,"CARBALLEIRA DOMÍNGUEZ , CÉSAR",11,23,0.48,,,1/1,100.00,,,2,0.09,,
20/21,49,LIC,ES,"ORUSTE SALVA, MAXIMILIANO",11,23,0.48,2,0.09,,,0/1,0.00,2,0.09,,
20/21,50,NOI,ES,"ESTELLER PLA, ALEIX",11,23,0.48,2,0.09,,,,,2,0.09,,
20/21,51,VIC,ES,"SÁNCHEZ SÁLES, CARLES",10,23,0.43,2,0.09,1/4,25.00,3/9,33.33,3,0.13,,
20/21,52,PAL,IT,"CESCHIN PONTORIERO, FRANCO TOMAS",10,22,0.45,1,0.05,,,3/15,20.00,4,0.18,,
20/21,53,PAL,ES,"ALDRICH RODRIGUEZ, XAVIER",10,22,0.45,6,0.27,1/5,20.00,,,1,0.05,,
20/21,54,BAR,ES,"ALABART GONZALEZ, IGNACIO",10,23,0.43,6,0.26,,,1/2,50.00,1,0.04,,
20/21,55,CAL,ES,"XAUS MOLINARI, ARNAU",10,25,0.40,3,0.12,,,1/5,20.00,2,0.08,,
20/21,56,VEN,ES,"FERNANDEZ AVILA CASTILLO, FRANCISCO",9,21,0.43,3,0.14,,,1/2,50.00,5,0.24,,
20/21,57,PAL,ES,"RAMON CONTRERAS, BORJA",9,23,0.39,2,0.09,,,5/17,29.41,,,,
20/21,58,MAT,ES,"CANTERO FERNANDEZ, ALEX",9,23,0.39,1,0.04,1/3,33.33,0/2,0.00,8,0.35,,
20/21,59,VIC,ES,"GOMEZ GILBERTE, TIRSO",9,11,0.82,1,0.09,3/5,60.00,1/3,33.33,3,0.27,,
20/21,60,IGU,ES,"VIVES BOERSMA, CESAR",9,20,0.45,,,1/3,33.33,0/2,0.00,6,0.30,,
20/21,61,VEN,ES,"CRESPO OLIVA, XAVIER",9,21,0.43,5,0.24,,,0/2,0.00,5,0.24,,
20/21,62,GIR,ES,"GURRI PUNSOLA, XAVIER",8,25,0.32,2,0.08,,,0/3,0.00,,,,
20/21,63,LLE,ES,"CAÑELLAS MARTIN, JOAN",8,24,0.33,1,0.04,,,,,,,,
20/21,64,NOI,ES,"FERRER MIRO, JORDI",8,23,0.35,3,0.13,,,2/8,25.00,2,0.09,,
20/21,65,GIR,ES,"GRAU TALLADA, ALEX",8,23,0.35,1,0.04,,,,,5,0.22,,
20/21,66,MAT,ES,"LLADO PEREZ, ORIOL",8,25,0.32,2,0.08,2/4,50.00,,,,,,
20/21,67,NOI,ES,"BALLART LUJAN, ADRIÀ",8,23,0.35,3,0.13,1/2,50.00,1/6,16.67,3,0.13,,
20/21,68,IGU,ES,"BALIU PIQUE, ANTONI",7,20,0.35,6,0.30,0/1,0.00,0/2,0.00,5,0.25,,
20/21,69,BAR,ES,"LLORCA FENES, SERGI",7,14,0.50,2,0.14,,,,,1,0.07,,
20/21,70,TAR,ES,"SOLER COLLELL, MARC",7,24,0.29,,,,,,,2,0.08,,
20/21,71,IGU,ES,"PALAU MIR, MARC",7,22,0.32,1,0.05,,,,,,,,
20/21,72,LLO,ES,"AGUIRRE VELA, MOISES",7,22,0.32,5,0.23,3/5,60.00,,,7,0.32,,
20/21,73,VOL,ES,"MOLAS SERRA , ALEIX",7,24,0.29,1,0.04,1/2,50.00,0/1,0.00,6,0.25,,
20/21,74,CAL,IT,"PELLIZZARI OLIVA, GUIDO ELIAN",7,24,0.29,1,0.04,,,,,4,0.17,,
20/21,75,BAR,ES,"GABARRÓ FEIXAS, MARTÍ",7,14,0.50,2,0.14,,,4/10,40.00,2,0.14,,
20/21,76,VIC,ES,"MOLAS TERRADELLAS, JAUME",7,22,0.32,,,,,,,4,0.18,,
20/21,77,VEN,ES,"LLISA VIGATÀ, ROC",7,21,0.33,5,0.24,,,0/2,0.00,2,0.10,,
20/21,78,VEN,ES,"NECCHI GARCIA, EMANUEL",6,21,0.29,2,0.10,,,1/5,20.00,2,0.10,,
20/21,79,MAT,ES,"FLORENZA EDO, ERIC",6,25,0.24,1,0.04,,,1/4,25.00,1,0.04,,
20/21,80,MAT,ES,"OLLÉ MASQUEF, MARC",6,24,0.25,2,0.08,,,0/1,0.00,2,0.08,,
20/21,81,REU,CL,"CASTRO VIDELA, FELIPE ALEJANDRO",6,20,0.30,1,0.05,,,,,3,0.15,,
20/21,82,BAR,ES,"PANADERO ARBAT, SERGI",6,23,0.26,4,0.17,,,,,1,0.04,,
20/21,83,CAD,ES,"BLANQUE CLARAMONTE, MARCOS",6,22,0.27,,,0/1,0.00,3/9,33.33,3,0.14,,
20/21,84,BAR,ES,"ROCA SUBIRANA, NIL",6,21,0.29,7,0.33,,,,,5,0.24,,
20/21,85,VIC,ES,"RAMÍREZ SABORIT, ORIOL",6,22,0.27,1,0.05,0/2,0.00,0/1,0.00,4,0.18,,
20/21,86,PAL,ES,"ABEAL INCHAURRONDO, MIKEL",6,22,0.27,2,0.09,,,,,3,0.14,,
20/21,87,MAT,ES,"GUAL PRATS, ERIK",6,25,0.24,,,,,2/8,25.00,2,0.08,,
20/21,88,CAD,ES,"ACSENSI VALIENTE, ROGER",6,22,0.27,2,0.09,0/1,0.00,,,5,0.23,,
20/21,89,REU,ES,"NAJERA BAILON, PABLO MIGUEL",5,22,0.23,4,0.18,,,,,,,,
20/21,90,TAR,ES,"BENITO MONTERO, ALBERT",5,22,0.23,1,0.05,,,0/1,0.00,4,0.18,,
20/21,91,VIC,FR,"LE BERRE, ANTOINE",5,23,0.22,1,0.04,0/2,0.00,1/3,33.33,3,0.13,,
20/21,92,MAT,ES,"CUSACHS BRUGAROLA, GERARD",5,24,0.21,2,0.08,2/2,100.00,0/4,0.00,3,0.13,,
20/21,93,IGU,ES,"RIBA OVEJERO, GERARD",5,21,0.24,,,,,1/3,33.33,2,0.10,,
20/21,94,TAR,ES,"MOLERA SURIÑACH, JACINT",5,16,0.31,,,,,0/2,0.00,3,0.19,1,0.06
20/21,95,VIC,ES,"FONT SÁNCHEZ, ARNAU",5,23,0.22,,,,,,,2,0.09,,
20/21,96,GIR,AO,"MENDES, HUMBERTO DA SILVA",5,22,0.23,4,0.18,,,0/1,0.00,10,0.45,,
20/21,97,REU,ES,"BANCELLS CHAVALES, ROMÀ",5,24,0.21,2,0.08,,,,,2,0.08,,
20/21,98,VOL,ES,"ROVIRA BAGARIA, GERARD",5,24,0.21,,,,,0/1,0.00,1,0.04,,
20/21,99,REU,ES,"GIMENEZ MONTORO, FERRAN",4,18,0.22,1,0.06,,,,,,,,
20/21,100,IGU,ES,"PLA PALAU, SERGI",4,22,0.18,2,0.09,,,1/9,11.11,2,0.09,,
20/21,101,LLO,ES,"PLAZA BALAGUE, DAVID",4,14,0.29,1,0.07,,,,,3,0.21,,
20/21,102,LLE,ES,"FOLGUERA CASTELLS, SERGI",4,24,0.17,,,,,1/5,20.00,2,0.08,,
20/21,103,LLE,ES,"JOSEPH DE RUEDA, ALEX",4,25,0.16,,,,,0/1,0.00,2,0.08,,
20/21,104,GIR,ES,"PALACIN PARDO, PAU",4,24,0.17,4,0.17,,,,,3,0.13,,
20/21,105,LLO,ES,"GOMEZ COTANO, MARC",3,19,0.16,3,0.16,,,,,1,0.05,,
20/21,106,CAL,ES,"PALAU PASCUAL, ORIOL",3,19,0.16,,,,,,,1,0.05,,
20/21,107,TAR,ES,"CASADEVALL ARNAUS, MARÇAL",3,24,0.13,1,0.04,,,,,1,0.04,,
20/21,108,MAT,ES,"ROMERO BERNABEU, BERNAT",3,18,0.17,1,0.06,,,3/6,50.00,,,,
20/21,109,LIC,IT,"CIOCALE, MARTÍN FABRIZIO",2,11,0.18,,,,,,,,,,
20/21,110,IGU,ES,"MARIMON BERGÉ, ALEIX",2,21,0.10,,,,,,,,,,
20/21,111,VOL,ES,"SERRA ANGUITA, HUMBERT",2,24,0.08,2,0.08,,,,,1,0.04,,
20/21,112,TAR,ES,"SOLER COLLELL, XAVIER",2,20,0.10,,,,,,,,,,
20/21,113,VEN,AD,"MIQUEL SOLÉ, GERARD",2,19,0.11,2,0.11,,,,,,,,
20/21,114,CAD,ES,"ACSENSI VALIENTE, ALEXANDRE",2,23,0.09,1,0.04,,,,,1,0.04,,
20/21,115,LIC,ES,"PARGA FERNANDEZ, PABLO",1,3,0.33,,,,,,,,,,
20/21,116,GIR,ES,"LAGUNA LOPEZ, HUGO",1,17,0.06,,,,,0/1,0.00,1,0.06,,
20/21,117,TAR,ES,"GENÍS POU, EDUARD",1,19,0.05,1,0.05,,,,,2,0.11,,
20/21,118,VOL,ES,"FONT SERRA, ROGER",1,23,0.04,2,0.09,,,,,4,0.17,,
20/21,119,PAL,ES,"LUZON RAVENTOS, MARCEL",1,23,0.04,,,,,,,1,0.04,,
20/21,120,MAT,ES,"CARBONELL PASCUAL, GUILLEM",1,16,0.06,,,,,,,,,,
20/21,121,REU,CL,"ROJAS RAMIREZ, DIEGO",1,7,0.14,,,,,,,,,,
20/21,122,MAT,ES,"XICOTA HERNANDEZ, CONRAD",1,20,0.05,,,,,,,,,,
20/21,123,VIC,ES,"OLLER SANS, JASSEL",1,4,0.25,,,0/1,0.00,1/1,100.00,1,0.25,,
20/21,124,PAL,ES,"QUEROL DE PABLO, ALBERT",1,11,0.09,,,,,,,,,,
20/21,125,VIC,ES,"MONTERO DE FRANCISCO, DAVID",1,16,0.06,,,,,0/1,0.00,1,0.06,,
20/21,126,PAL,ES,"GELMA PAZ, JOAN",1,10,0.10,1,0.10,,,,,2,0.20,,
20/21,127,LIC,ES,"LÓPEZ MARTÍNEZ, DANIEL",1,3,0.33,,,,,,,,,,
20/21,128,CAL,ES,"ROMEU COSTA, SERGI",1,19,0.05,1,0.05,0/1,0.00,,,2,0.11,,
19/20,1,FCB,ES,"ALVAREZ VERA, PABLO  FEDERICO",38,25,1.52,8,0.32,1/1,100.00,5/10,50.00,,,,
19/20,2,LIC,ES,"GRAU TALLADA, MARC",34,24,1.42,3,0.13,0/1,0.00,3/8,37.50,4,0.17,,
19/20,3,REU,ES,"RODRIGUEZ DALMAU, ALEX",32,24,1.33,2,0.08,12/22,54.55,1/7,14.29,4,0.17,,
19/20,4,FCB,ES,"BARGALLÓ  POCH , PAU",32,24,1.33,26,1.08,,,2/7,28.57,1,0.04,,
19/20,5,FCB,PT,"RODRIGUES BRAZÃO, JOÃO MIGUEL ",32,25,1.28,9,0.36,3/6,50.00,0/3,0.00,,,,
19/20,6,IGU,ES,"MENDEZ ORTIZ, JORDI",31,25,1.24,1,0.04,1/2,50.00,0/3,0.00,2,0.08,,
19/20,7,LIC,ES,"TORRES PASTORIZA, DAVID",26,24,1.08,13,0.54,3/8,37.50,1/5,20.00,5,0.21,,
19/20,8,REU,ES,"JULIÀ SOLER, MARC",21,24,0.88,4,0.17,,,9/22,40.91,5,0.21,,
19/20,9,FCB,ES,"ALABART GONZALEZ, IGNACIO",19,25,0.76,15,0.60,,,2/3,66.67,,,,
19/20,10,PAL,ES,"GARCIA MUÑOZ, FERRAN",19,24,0.79,1,0.04,,,13/31,41.94,3,0.13,,
19/20,11,NOI,ES,"COSTA FERRE, XAVIER",19,21,0.90,1,0.05,8/15,53.33,,,4,0.19,1,0.05
19/20,12,CAL,ES,"RODRÍGUEZ MARIMÓN, CRISTIAN",18,25,0.72,2,0.08,1/4,25.00,2/5,40.00,3,0.12,,
19/20,13,TAR,ES,"RODRIGUEZ DALMAU, DANIEL",18,24,0.75,1,0.04,4/7,57.14,4/15,26.67,4,0.17,,
19/20,14,NOI,ES,"ARAGONES FERRERES , SERGI",18,25,0.72,5,0.20,2/6,33.33,1/2,50.00,2,0.08,,
19/20,15,FCB,PT,"NUNES PEREIRA, HELDER",17,25,0.68,17,0.68,2/2,100.00,0/3,0.00,2,0.08,,
19/20,16,IGU,ES,"PLA PALAU, SERGI",17,25,0.68,6,0.24,0/1,0.00,4/8,50.00,2,0.08,,
19/20,17,CAL,ES,"ROVIRA GAYARRE, XAVIER",17,25,0.68,7,0.28,1/2,50.00,3/6,50.00,2,0.08,,
19/20,18,CAL,ES,"XAUS MOLINARI, ARNAU",16,24,0.67,1,0.04,,,7/12,58.33,4,0.17,,
19/20,19,GIR,ES,"PUJOL QUINTANA, GERARD",16,24,0.67,1,0.04,1/3,33.33,5/10,50.00,3,0.13,,
19/20,20,IGU,ES,"BALIU PIQUE, ANTONI",16,24,0.67,7,0.29,,,0/2,0.00,5,0.21,,
19/20,21,LIC,FR,"DI BENEDETTO, ROBERTO",16,24,0.67,6,0.25,1/1,100.00,2/8,25.00,4,0.17,,
19/20,22,CAL,ES,"BLANQUE CLARAMONTE, MARCOS",16,24,0.67,5,0.21,0/1,0.00,3/14,21.43,,,,
19/20,23,CAL,ES,"TORNÉ PIÑOL, SERGI",16,23,0.70,8,0.35,0/1,0.00,3/5,60.00,5,0.22,,
19/20,24,NOI,ES,"FERRER MIRO, JORDI",15,25,0.60,6,0.24,,,1/7,14.29,,,,
19/20,25,LLE,ES,"JOSEPH DE RUEDA, ALEX",15,25,0.60,,,,,,,,,,
19/20,26,LIC,ES,"ORUSTE SALVA, MAXIMILIANO",15,24,0.63,6,0.25,0/1,0.00,3/12,25.00,4,0.17,,
19/20,27,NOI,ES,"ESTELLER PLA, ALEIX",14,25,0.56,4,0.16,,,,,1,0.04,,
19/20,28,LLO,ES,"PLAZA BALAGUE, DAVID",14,24,0.58,9,0.38,0/3,0.00,2/2,100.00,2,0.08,,
19/20,29,VIC,FR,"LE BERRE, ANTOINE",13,25,0.52,,,1/2,50.00,1/8,12.50,,,,
19/20,30,LLE,ES,"TOMÀS TOHÀ, ANDREU",13,25,0.52,2,0.08,3/8,37.50,3/9,33.33,1,0.04,,
19/20,31,REU,ES,"SALVAT CARBÓ, JOAN",12,25,0.48,,,0/1,0.00,,,1,0.04,,
19/20,32,NOI,ES,"LLORCA FENES, SERGI",12,25,0.48,1,0.04,1/5,20.00,3/13,23.08,,,,
19/20,33,LLE,ES,"VIVES CLOS, ORIOL",12,17,0.71,,,0/1,0.00,0/4,0.00,2,0.12,,
19/20,34,VIC,ES,"FONT SERRA, ROGER",11,24,0.46,,,,,0/1,0.00,4,0.17,,
19/20,35,NOI,ES,"MANRUBIA PERO, POL",11,25,0.44,5,0.20,,,4/11,36.36,1,0.04,,
19/20,36,PAL,ES,"FIGA RENJIFO, MARC",11,24,0.46,1,0.04,4/7,57.14,,,4,0.17,,
19/20,37,CAL,ES,"ROSA CAPELLA, FERRAN ",11,25,0.44,2,0.08,0/3,0.00,1/4,25.00,,,,
19/20,38,LIC,IT,"BRIDGE PERGOLIS, FACUNDO",11,25,0.44,2,0.08,,,,,1,0.04,,
19/20,39,CAL,ES,"GIMENEZ ADMIRABLE, ALVARO BORJA",10,24,0.42,2,0.08,0/1,0.00,0/2,0.00,6,0.25,,
19/20,40,CAL,IT,"PELLIZZARI OLIVA, GUIDO ELIAN",10,25,0.40,3,0.12,0/1,0.00,,,2,0.08,,
19/20,41,LLO,ES,"GRAU TALLADA, ALEX",10,23,0.43,,,,,0/1,0.00,10,0.43,1,0.04
19/20,42,VOL,ES,"CANAL TRUY, ARNAU",10,25,0.40,,,1/4,25.00,1/4,25.00,1,0.04,,
19/20,43,IGU,ES,"VIVES BOERSMA, CESAR",9,24,0.38,4,0.17,2/3,66.67,0/1,0.00,6,0.25,,
19/20,44,LLE,ES,"PALAZON MANCHA, MARC",9,25,0.36,2,0.08,,,0/1,0.00,2,0.08,,
19/20,45,CAL,ES,"ROMEU COSTA, SERGI",9,22,0.41,1,0.05,2/4,50.00,,,2,0.09,,
19/20,46,LIC,AR,"PLATERO FIGUEROA, FRANCO EMANUEL",9,25,0.36,4,0.16,3/6,50.00,,,,,,
19/20,47,TAR,ES,"CASADEVALL ARNAUS, MARÇAL",9,24,0.38,1,0.04,1/4,25.00,0/1,0.00,4,0.17,,
19/20,48,PAL,ES,"CANET VIILA, SERGI",9,25,0.36,,,1/1,100.00,,,2,0.08,,
19/20,49,IGU,ES,"BARS CATALÀ, ROGER",9,17,0.53,3,0.18,2/3,66.67,,,1,0.06,,
19/20,50,FCB,AR,"PASCUAL, MATÍAS JOSÉ",9,20,0.45,5,0.25,2/4,50.00,,,4,0.20,,
19/20,51,VOL,ES,"VARGAS NAVAS, ERIC",9,25,0.36,1,0.04,,,3/4,75.00,3,0.12,,
19/20,52,LLO,ES,"FARRE CASTELLS, ADRIA",9,25,0.36,1,0.04,,,,,2,0.08,,
19/20,53,VIC,ES,"SÁNCHEZ SÁLES, CARLES",8,24,0.33,5,0.21,,,0/7,0.00,4,0.17,,
19/20,54,GIR,ES,"GURRI PUNSOLA, XAVIER",8,25,0.32,1,0.04,,,0/3,0.00,1,0.04,,
19/20,55,CAL,ES,"RODRIGUEZ ROJAS, ANGEL",8,24,0.33,2,0.08,0/1,0.00,0/2,0.00,,,,
19/20,56,CAL,ES,"PALAU PASCUAL, ORIOL",8,25,0.32,,,0/1,0.00,,,1,0.04,,
19/20,57,GIR,AO,"MENDES, HUMBERTO DA SILVA",7,22,0.32,1,0.05,,,1/5,20.00,2,0.09,,
19/20,58,LIC,IT,"CIOCALE, FABRICIO MARTIN",7,25,0.28,4,0.16,,,2/5,40.00,2,0.08,,
19/20,59,FCB,ES,"ROCA SUBIRANA, NIL",7,21,0.33,6,0.29,,,,,4,0.19,,
19/20,60,VOL,ES,"MOLAS SERRA , ALEIX",7,24,0.29,1,0.04,1/1,100.00,,,4,0.17,1,0.04
19/20,61,REU,ES,"CARBALLEIRA DOMÍNGUEZ , CÉSAR",7,16,0.44,3,0.19,1/2,50.00,1/1,100.00,2,0.13,,
19/20,62,VOL,ES,"BALLART LUJAN, ADRIÀ",7,20,0.35,1,0.05,,,1/5,20.00,3,0.15,,
19/20,63,GIR,ES,"MANGAS COLL, ANIOL",7,25,0.28,1,0.04,,,,,,,,
19/20,64,REU,ES,"DEL RIO LAGE, PABLO",7,25,0.28,,,,,,,,,,
19/20,65,IGU,ES,"PALAU MIR, MARC",6,25,0.24,2,0.08,,,,,3,0.12,,
19/20,66,CAL,ES,"ACSENSI VALIENTE, ROGER",6,25,0.24,1,0.04,0/1,0.00,,,3,0.12,,
19/20,67,LLO,ES,"GOMEZ COTANO, MARC",6,25,0.24,2,0.08,0/2,0.00,1/7,14.29,2,0.08,,
19/20,68,LIC,FR,"DI BENEDETTO, BRUNO",6,23,0.26,6,0.26,,,,,2,0.09,,
19/20,69,PAL,ES,"RAMON CONTRERAS, BORJA",5,25,0.20,4,0.16,,,0/4,0.00,,,,
19/20,70,CAL,ES,"ACSENSI VALIENTE, ALEXANDRE",5,25,0.20,1,0.04,,,,,,,,
19/20,71,LLE,ES,"CAÑELLAS MARTIN, JOAN",5,24,0.21,,,,,,,4,0.17,,
19/20,72,VOL,ES,"ORDEIG MALAGÓN, JOSEP MARIA",5,23,0.22,1,0.04,0/1,0.00,,,3,0.13,,
19/20,73,TAR,ES,"SOLER COLLELL, XAVIER",5,25,0.20,,,,,,,1,0.04,,
19/20,74,VOL,ES,"GALLIFA ANFRUNS, POL",5,24,0.21,,,3/4,75.00,1/4,25.00,1,0.04,,
19/20,75,GIR,ES,"PALACIN PARDO, PAU",5,25,0.20,,,,,,,1,0.04,,
